Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
CA11	CARP2, CARPX1	ENSG00000063180	Carbonic anhydrase XI	19	49141199-49149569	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA041778	Uncertain	Uncertain	Vesicles, Cytoskeleton (Microtubules)	Tissue enhanced	0	cerebral cortex: 115.5	ovary: 35.9
CABP7	MGC57793	ENSG00000100314	Calcium binding protein 7	22	30116073-30127828	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA016439	Uncertain			Tissue enhanced	0	adrenal gland: 1.8;cerebral cortex: 1.8;pancreas: 1.6	small intestine: 1.1
CACNA1A	APCA, CACNL1A4, Cav2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6	ENSG00000141837	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	19	13317256-13734804	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA064258	Supportive			Tissue enhanced	0	cerebral cortex: 15.0;stomach: 9.4	adrenal gland: 4.1
CACNA1G	Cav3.1, NBR13	ENSG00000006283	Calcium channel, voltage-dependent, T type, alpha 1G subunit	17	48638429-48704835	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA004714	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	cerebral cortex: 5.0	endometrium: 2.6
CACNA1I	Cav3.3	ENSG00000100346	Calcium channel, voltage-dependent, T type, alpha 1I subunit	22	39966758-40085742	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 2.6	lymph node: 1.6
CACNB4	EJM4	ENSG00000182389	Calcium channel, voltage-dependent, beta 4 subunit	2	152689290-152955593	Disease related genes, FDA approved drug targets, Plasma proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA015601	Uncertain			Tissue enhanced	0	cerebral cortex: 20.6;skin: 9.6	testis: 4.1
CADM4	IGSF4C, Necl-4, SynCAM4, TSLL2	ENSG00000105767	Cell adhesion molecule 4	19	44126520-44143991	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA012612	Uncertain	Uncertain	Nuclear membrane, Nucleus	Tissue enhanced	0	cerebral cortex: 71.3	kidney: 21.5
CADPS	CAPS, CAPS1, KIAA1121	ENSG00000163618	Ca++-dependent secretion activator	3	62384022-62861054	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA059328	Supportive			Tissue enhanced	0	cerebral cortex: 44.5	adrenal gland: 23.4
CALN1		ENSG00000183166	Calneuron 1	7	71244476-71912136	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA036278, HPA050146	Uncertain	Uncertain	Nucleus, Aggresome	Tissue enhanced	0	adrenal gland: 15.1;cerebral cortex: 25.2	testis: 7.5
CAMK1G	CLICKIII, dJ272L16.1, VWS1	ENSG00000008118	Calcium/calmodulin-dependent protein kinase IG	1	209757062-209787283	Enzymes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA023809	Uncertain			Tissue enhanced	0	cerebral cortex: 19.2;ovary: 20.6	spleen: 5.1
CAMK2N1	CaMKIINalpha	ENSG00000162545	Calcium/calmodulin-dependent protein kinase II inhibitor 1	1	20808884-20812713	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 173.1	colon: 82.2
CAMKK1	CAMKKA, DKFZp761M0423, MGC34095	ENSG00000004660	Calcium/calmodulin-dependent protein kinase kinase 1, alpha	17	3763609-3798185	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009111, HPA028062	Uncertain	Supportive	Cytoplasm	Tissue enhanced	0	cerebral cortex: 27.4	salivary gland: 20.7
CBLN4	CBLNL1, dJ885A10.1	ENSG00000054803	Cerebellin 4 precursor	20	54572496-54580528	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	adrenal gland: 18.3;cerebral cortex: 8.7	fallopian tube: 4.7
CCDC177	C14orf162, PLPL	ENSG00000255994	Coiled-coil domain containing 177	14	70037483-70038032		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enhanced	0	cerebral cortex: 2.3	testis: 0.5
CCDC85A	KIAA1912	ENSG00000055813	Coiled-coil domain containing 85A	2	56411258-56613308	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA043106	Uncertain			Tissue enhanced	0	cerebral cortex: 9.2	adipose tissue: 7.0
CCK		ENSG00000187094	Cholecystokinin	3	42299317-42307699	Plasma proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB002308	Uncertain			Tissue enhanced	0	cerebral cortex: 65.6;duodenum: 90.3	prostate: 23.4
CCSAP	C1orf96, CSAP, FLJ41471	ENSG00000154429	Centriole, cilia and spindle-associated protein	1	229456758-229479041	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028402, HPA043443	Supportive	Uncertain	Nucleus but not nucleoli, Cytoskeleton (Cytokinetic bridge)	Tissue enhanced	0	cerebral cortex: 32.3;placenta: 35.2	skin: 10.3
CDH22	C20orf25, dJ998H6.1	ENSG00000149654	Cadherin 22, type 2	20	44802372-44937137	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA012164	Uncertain			Tissue enhanced	0	cerebral cortex: 5.1;skin: 3.4	fallopian tube: 1.7
CDH4		ENSG00000179242	Cadherin 4, type 1, R-cadherin (retinal)	20	59827482-60515673	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA015613	Uncertain	Supportive	Plasma membrane	Tissue enhanced	0	cerebral cortex: 4.6;spleen: 5.2	ovary: 2.4
CDH7		ENSG00000081138	Cadherin 7, type 2	18	63417488-63548638	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA010808	Uncertain			Tissue enhanced	0	cerebral cortex: 2.1	prostate: 1.0
CDK5R1	Nck5a, p35nck5a	ENSG00000176749	Cyclin-dependent kinase 5, regulatory subunit 1 (p35)	17	30813637-30818274	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000252		Supportive	Nucleus but not nucleoli, Vesicles	Tissue enhanced	0	cerebral cortex: 52.6	tonsil: 13.0
CDKL5	EIEE2, STK9	ENSG00000008086	Cyclin-dependent kinase-like 5	X	18443703-18671749	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002847, CAB011577	Supportive	Supportive	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 11.4	testis: 5.6
CELSR3	CDHF11, EGFL1, FMI1, HFMI1, MEGF2	ENSG00000008300	Cadherin, EGF LAG seven-pass G-type receptor 3	3	48673902-48700348	G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA062866	Uncertain			Tissue enhanced	0	cerebral cortex: 6.5	testis: 5.1
CGREF1	CGR11	ENSG00000138028	Cell growth regulator with EF-hand domain 1	2	27321757-27341995	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA008241	Uncertain	Uncertain	Nucleus, Cytoplasm, Cytoskeleton (Intermediate filaments), Cytoskeleton (Microtubules)	Tissue enhanced	0	cerebral cortex: 23.4	stomach: 9.7
CHADL	SLRR4B	ENSG00000100399	Chondroadherin-like	22	41625517-41636938	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA005696, HPA024654	Supportive	Uncertain	Mitochondria	Tissue enhanced	0	cerebral cortex: 12.5	salivary gland: 7.8
CHL1	CALL, FLJ44930, L1CAM2, MGC132578	ENSG00000134121	Cell adhesion molecule L1-like	3	238279-451090	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003345, CAB026120	Supportive			Tissue enhanced	0	cerebral cortex: 75.0	ovary: 22.5
CHRNA4	BFNC, EBN, EBN1	ENSG00000101204	Cholinergic receptor, nicotinic, alpha 4 (neuronal)	20	61975420-62009753	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB034064	Uncertain			Tissue enhanced	0	cerebral cortex: 4.8;liver: 11.0	spleen: 3.6
CHST1	C6ST, KSGal6ST	ENSG00000175264	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	11	45670427-45687172	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 23.7	salivary gland: 6.1
CHST6	MCDC1	ENSG00000183196	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6	16	75510949-75529282	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enhanced	0	cerebral cortex: 4.4	salivary gland: 2.3
CIT	CRIK, KIAA0949, STK21	ENSG00000122966	Citron (rho-interacting, serine/threonine kinase 21)	12	120123595-120315095	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA019082, HPA048812	Uncertain			Tissue enhanced	0	cerebral cortex: 26.0	bone marrow: 11.5
CLCN4	ClC-4, CLC4	ENSG00000073464	Chloride channel, voltage-sensitive 4	X	10125024-10205700	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA031313	Uncertain			Tissue enhanced	0	cerebral cortex: 27.4	skeletal muscle: 16.1
CLDN11	OSP, OTM	ENSG00000013297	Claudin 11	3	170136653-170578169	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009789, HPA013166	Supportive			Tissue enhanced	0	cerebral cortex: 91.7;ovary: 88.9;testis: 167.0	gallbladder: 31.7
CLIP3	CLIPR-59, RSNL1	ENSG00000105270	CAP-GLY domain containing linker protein 3	19	36505562-36524245	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA041429	Uncertain			Tissue enhanced	0	cerebral cortex: 120.8	smooth muscle: 36.2
CNGB1	CNCG2, CNCG3L, CNGB1B, GAR1, GARP, RCNC2, RCNCb, RP45	ENSG00000070729	Cyclic nucleotide gated channel beta 1	16	57917503-58005020	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA039159	Uncertain			Tissue enhanced	0	adrenal gland: 3.6;cerebral cortex: 2.3	testis: 0.8
CNNM1	ACDP1	ENSG00000119946	Cyclin M1	10	101088856-101154087	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA040408	Uncertain			Tissue enhanced	0	cerebral cortex: 6.4;testis: 10.9	ovary: 2.8
CNR1	CANN6, CB-R, CB1, CB1A, CB1K5, CNR	ENSG00000118432	Cannabinoid receptor 1 (brain)	6	88849583-88876078	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB005603	Uncertain			Tissue enhanced	0	cerebral cortex: 18.1	adipose tissue: 7.2
CNTN1	F3, GP135	ENSG00000018236	Contactin 1	12	41086244-41466220	Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025200, HPA041060	Supportive	Uncertain	Vesicles	Tissue enhanced	0	cerebral cortex: 129.4	ovary: 54.3
CNTNAP1	Caspr, CNTNAP, NRXN4, p190	ENSG00000108797	Contactin associated protein 1	17	40834631-40851832	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA011772	Uncertain	Uncertain	Nucleus	Tissue enhanced	0	cerebral cortex: 34.3	smooth muscle: 26.9
COLGALT2	C1orf17, GLT25D2, KIAA0584	ENSG00000198756	Collagen beta(1-O)galactosyltransferase 2	1	183898796-184006863	Enzymes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA031749, HPA031750	Uncertain	Uncertain	Nucleus, Vesicles	Tissue enhanced	0	cerebral cortex: 25.1	adrenal gland: 6.7
CORO2B	ClipinC, KIAA0925	ENSG00000103647	Coronin, actin binding protein, 2B	15	68871308-69020145	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA017960	Supportive	Uncertain	Plasma membrane, Focal Adhesions	Tissue enhanced	0	cerebral cortex: 39.8;fallopian tube: 27.0	ovary: 13.9
CPE		ENSG00000109472	Carboxypeptidase E	4	166282346-166419472	Enzymes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003819, CAB024907	Supportive	Uncertain	Centrosome, Nucleus but not nucleoli, Vesicles	Tissue enhanced	0	cerebral cortex: 807.0	prostate: 365.4
CPNE4	COPN4, CPN4	ENSG00000196353	Copine IV	3	131252399-132004254	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA032036	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	cerebral cortex: 15.5;prostate: 52.7	heart muscle: 7.0
CPNE9	KIAA4217	ENSG00000144550	Copine family member IX	3	9745491-9771592	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA049858	Uncertain			Tissue enhanced	0	cerebral cortex: 6.6	skin: 1.4
CPT1C	CPT1P, CPTIC, FLJ23809	ENSG00000169169	Carnitine palmitoyltransferase 1C	19	50194155-50216988	Enzymes, Mitochondrial proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA014529	Uncertain			Tissue enhanced	0	cerebral cortex: 31.2	smooth muscle: 12.7
